@type,name,amenity,addr:postcode,addr:suburb,@lat,@lon
node,Rusticana,restaurant,12051,,52.4658960,13.4325315
node,China Thai Imbiss,fast_food,,,52.5181292,13.3053035
node,Ming Jia,restaurant,14059,Charlottenburg,52.5119442,13.2974907
node,Van May,restaurant,,,52.5121116,13.2974750
node,Lily Burger,fast_food,,,52.5120352,13.2974817
node,Domino's,fast_food,12279,,52.4087310,13.3561793
node,Kiosk Heidehof,fast_food,,,52.4289059,13.4208664
node,Bellisimo,restaurant,,,52.5100716,13.4060123
node,KFC,fast_food,,,52.5337938,13.1982478
node,Mac Schawarma,fast_food,12437,,52.4652499,13.4863710
node,,fast_food,14059,Westend,52.5104038,13.2820568
node,Kaiser Bistro,fast_food,14057,Westend,52.5103854,13.2840724
node,friends&friends,restaurant,10627,,52.5048952,13.2992862
node,Buchcaf�,restaurant,10627,Charlottenburg,52.5066362,13.2979910
node,L�ng Ku'a,restaurant,14059,,52.5111413,13.2820069
node,Maredo,restaurant,,,52.5087373,13.3744724
node,,fast_food,,,52.4979396,13.4050431
node,,fast_food,,,52.4559034,13.3517991
node,Restaurant Meteora,restaurant,12247,,52.4437493,13.3397112
node,Asteria,restaurant,,,52.5016744,13.3003313
node,Transit,restaurant,10119,Mitte,52.5286295,13.4022809
node,Muret La Barba,restaurant,10119,Mitte,52.5274951,13.4034676
node,YamYam,restaurant,10119,Mitte,52.5275510,13.4082670
node,Gel G�r,fast_food,10967,Neuk�lln,52.4917133,13.4232107
node,Syrtaki,restaurant,10318,Karlshorst,52.4810042,13.5236454
node,Addis Abeba,restaurant,10589,Charlottenburg,52.5258996,13.3077671
